ID;DISCIPLINA;ARGOMENTO;SUBARGOMENTO;COMANDO;ESERCIZIO;LIVELLO;SOLUZIONE;TIPO
486;Matematica;insiemi;a_problemi;Risolvere il seguente problema rappresentando la situazione con un diagramma di Eulero-Venn:;Nella prima B ci sono $18$ ragazze e $10$ studenti che portano gli occhiali. Sapendo che i ragazzi che non portano gli occhiali sono $7$ e le ragazze che hanno gli occhiali sono $5$, quanti sono gli alunni della classe?;2;$30$;A
487;Matematica;funzioni;a_studio_funzione;"Per la seguente funzione, calcolare:
\begin{enumerate}
\item Dominio
\item Intersezione con gli assi
\item Studio del segno
\item Eventuali asintoti
\item Derivata
\item Crescenza e decrescenza
\item Massimi e minimi
\item Grafico
\end{enumerate}";\hspace{2cm} $y=\dfrac{3-x}{(x-2)^3}$;2;"$\left[D=\mathrm{R}-\{2\} ;\right.$ asintoti: $x=2, y=0, \min \left(x=\frac{7}{2}\right) ;$ flesso $\left.(x=4)\right]$";A
488;Matematica;funzioni;a_studio_funzione;"Per la seguente funzione, calcolare:
\begin{enumerate}
\item Dominio
\item Intersezione con gli assi
\item Studio del segno
\item Eventuali asintoti
\item Derivata
\item Crescenza e decrescenza
\item Massimi e minimi
\item Grafico
\end{enumerate}";\hspace{2cm} $y=\dfrac{5x-1}{(x+1)^3}$;2;"$\left[D=\mathrm{R}-\{-1\} ;\right.$ asintoti: $x=-1, y=0, \max \left(x=\frac{4}{5}\right) ;$ flesso $\left.(x=\frac{7}{5})\right]$";A
489;Matematica;disequazioni;a_primo_grado;Risolvere la seguente disequazione di primo grado e rappresentare graficamente la soluzione:;$(x-1)(x+1)-(x-3)^2<3$;1;$x<13/6$;A
490;Matematica;disequazioni;a_primo_grado;Risolvere la seguente disequazione di primo grado e rappresentare graficamente la soluzione:;$(x-1)^2-3 x<(x-3)(x+3)$;1;$x>2$;A
491;Matematica;disequazioni;a_primo_grado;Risolvere la seguente disequazione di primo grado e rappresentare graficamente la soluzione:;$\dfrac{1}{2}\left(x-\dfrac{4}{3}\right)+\left(3-\dfrac{x}{2}\right)^2<\dfrac{x^2}{4}+\dfrac{x-1}{3}-\dfrac{2 x+5}{2}+2$;2;$x>5$;A
492;Matematica;disequazioni;a_primo_grado;Risolvere la seguente disequazione di primo grado e rappresentare graficamente la soluzione:;$\dfrac{4}{9}\left[x+\dfrac{3(x-1)}{4}\right]+\left(x+\dfrac{1}{3}\right)^2 \geq \dfrac{1}{3}+\left(x-\dfrac{1}{3}\right)(x+2)$;2;$x<=1/2$;A
493;Matematica;disequazioni;a_sistemi_primo_grado;Risolvere il seguente sistema di disequazioni di primo grado e rappresentare graficamente la soluzione:;$\left\{\begin{array}{l}x+7-3 x \geq-x(x+1)+x^2-3-2 x \\ 2 x+3<7\end{array}\right.$;1;$-10<=x<2$;A
494;Matematica;disequazioni;a_sistemi_primo_grado;Risolvere il seguente sistema di disequazioni di primo grado e rappresentare graficamente la soluzione:;$\left\{\begin{array}{l}\dfrac{1}{3}(9 x+12)-10>12 \\ 4 x(x-1)+10<4 x(x+1)-6\end{array}\right.$;1;$x>6$;A
495;Matematica;disequazioni;a_sistemi_primo_grado;Risolvere il seguente sistema di disequazioni di primo grado e rappresentare graficamente la soluzione:;$\left\{\begin{array}{l}4\left(\dfrac{1}{8} x-2\right)-\dfrac{x}{4} \leq-\dfrac{x+3}{3} \\ \dfrac{1}{3} x+2>\dfrac{1}{2} x-\dfrac{x-5}{6}+1\end{array}\right.$;2;$x<=12$;A
496;Matematica;disequazioni;a_sistemi_primo_grado;Risolvere il seguente sistema di disequazioni di primo grado e rappresentare graficamente la soluzione:;$\left\{\begin{array}{l}9 x-15-2(x+1) \geq-2(x-3)-20 \\ \dfrac{1-x}{2}+1 \geq \dfrac{2}{3} x-\dfrac{4}{3}\end{array}\right.$;2;$1/3<=x<=17/7$;A
497;Matematica;disequazioni;a_problemi_lineari;Risolvere il seguente problema con l’utilizzo delle disequazioni:;Un’aiuola rettangolare deve essere costruita con un perimetro minore o uguale a $18 m$. Sapendo che la lunghezza dovrà superare di $3 m$ la larghezza, determina quale può essere la larghezza massima dell’aiuola.;1;$3m$;A
498;Matematica;disequazioni;a_problemi_lineari;Risolvere il seguente problema con l’utilizzo delle disequazioni:;I lati di un triangolo misurano, in metri, rispettivamente $2x$, $x+2$ e $8$. Per quali valori di $x$ il triangolo ha perimetro minore di $100 m$?;1;$2<x<30$;A
499;Matematica;disequazioni;a_problemi_lineari;Risolvere il seguente problema con l’utilizzo delle disequazioni:;Mi fermo al distributore per mettere nel motore dell’auto mezzo litro di olio, che costa $17,60$ euro al litro, e per fare benzina, che costa $1,28$ euro al litro. Quanti litri di benzina posso mettere al massimo nel serbatoio se ho soltanto $28$ euro?;2;$15L$;A
500;Matematica;disequazioni;a_problemi_lineari;Risolvere il seguente problema con l’utilizzo delle disequazioni:;"Andrea, per andare in piscina, può scegliere tra due diverse possibilità: $140$ euro di iscrizione annuale più $2$ euro per ogni ingresso; $20$ euro per la tessera di socio più $8$ euro per ogni ingresso. Per quanti ingressi risulta preferibile la seconda possibilità?";2;$<20$;A
501;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$12a^2b^3+30a^3b+6ab$;1;$6ab(2ab^2+5a^2+1)$;A
502;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$18a^3y-4a^4y^3+10a^5y^2$;1;$2a^3y(9-2ay^2+5a^2y)$;A
503;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$3ax^2-6x^2+3a-6$;2;$3(x^2+1)(a-2)$;A
504;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$x^4+4x^2-x^3y-4xy$;2;$x(x-y)(x^2+4)$;A
505;Matematica;derivate;a_composte;Utilizzando le regole di derivazione, calcolare la derivata della seguente funzione:;$y=5 \ln \left(x^2+3\right)$;1;${\left[y^{\prime}=\dfrac{10 x}{x^2+3}\right]}$;A
506;Matematica;derivate;a_composte;Utilizzando le regole di derivazione, calcolare la derivata della seguente funzione:;$y=\ln \left(x^2-1\right)+5$;1;${\left[y^{\prime}=\dfrac{2 x}{x^2-1}\right]}$;A
507;Matematica;derivate;a_composte;Utilizzando le regole di derivazione, calcolare la derivata della seguente funzione:;$y=\ln \sqrt{\dfrac{1+x}{1-x}}$;2;${\left[y^{\prime}=\dfrac{1}{1-x^2}\right]}$;A
508;Matematica;derivate;a_composte;Utilizzando le regole di derivazione, calcolare la derivata della seguente funzione:;$y=\ln \dfrac{\sqrt{4+x^2}}{x}$;2;${\left[y^{\prime}=\dfrac{-4}{x\left(4+x^2\right)}\right]}$;A
509;Matematica;derivate;a_differenziale_appross;Utilizzare il differenziale per calcolare il valore approssimato del seguente numero (con 3 cifre dopo la virgola):;$(2,039)^2$;1;$4,156$;A
510;Matematica;derivate;a_differenziale_appross;Utilizzare il differenziale per calcolare il valore approssimato del seguente numero (con 3 cifre dopo la virgola):;$(1,028)^3$;1;$1,084$;A
511;Matematica;derivate;a_differenziale_appross;Risolvere il seguente esercizio:;Utilizzando il differenziale, calcolare di quanto aumenta l’area di un cerchio se il raggio, lungo $4m$, aumenta di $2mm$ (fornire il risultato in $m^2$ con 6 cifre dopo la virgola).;2;$[0,050265 m^2]$;A
512;Matematica;derivate;a_differenziale_appross;Risolvere il seguente esercizio:;Un cubo ha il lato di $5 m$. Utilizzando il differenziale, calcolare di quanto aumenta il suo volume se si aumenta il lato di $4 cm$.;2;$[3 m^3]$;A
513;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Determinare l’equazione della retta tangente al grafico della funzione $f(x)=x^2+x$ nel suo punto $P_0$ di ascissa $x_0=1$. Suggerimento: l’equazione di una retta con pendenza $m$ e passante per un punto $P_0(x_0;y_0)$ è $y-y_0=m(x-x_0)$.";2;$[y=3x-1]$;A
514;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Determinare l’equazione della retta tangente al grafico della funzione $f(x)=-x^2+4x$ nel suo punto $P_0$ di ascissa $x_0=4$. Suggerimento: l’equazione di una retta con pendenza $m$ e passante per un punto $P_0(x_0;y_0)$ è $y-y_0=m(x-x_0)$.";2;$[y=-4x+16]$;A
515;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;Data la parabola $y=x^2-(k-1)x+k$, determinare il valore di $k$ in modo che la tangente nel suo punto di ascissa $x=-1$ sia parallela alla retta $y=x$.;1;$[k=-2]$;A
516;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;Data la curva di equazione $y=\dfrac{2+k}{x^2}$, calcolare il valore di $k$ in modo che la tangente al suo grafico nel punto di ascissa $x=1$ sia parallela alla retta $x+2y-1=0$.;1;$[k=-7/4]$;A
517;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Determinare i parametri $a$ e $b$ in modo che il grafico della funzione $y=\dfrac{ax+b}{x}$ abbia nel punto $P(1; 1)$ una retta tangente parallela a quella passante per i punti $A(0; 2)$ e $B(4; -1)$.";3;"$a=1/4$ ; $b=3/4$";A
518;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Data la parabola di equazione $y=2ax^2-(3a-b)x-4b$, determinare $a$ e $b$ in modo che la retta a essa tangente nel suo punto di ascissa $x = 1$ sia parallela alla retta passante per i punti $A(3; 5)$ e $B(1; 1)$ e passi per il punto $P(-1; 2)$.";3;"$a=6$ ; $b=-4$";A
519;Matematica;funzioni;a_dom_assi_segno;"Per la seguente funzione, calcolare:
\begin{center} a) Dominio; \;\;\; b) Intersezione con gli assi; \;\;\; c) Studio del segno \end{center}
e riportare i risultati ottenuti nel piano cartesiano.";$y=\dfrac{2x-5}{x^{2}-5 x+4}$;1;"$x<>1; x<>5; (5/2,0);(0,-5/4);1<x<5/2 V x>5$";A
520;Matematica;funzioni;a_dom_assi_segno;"Per la seguente funzione, calcolare:
\begin{center} a) Dominio; \;\;\; b) Intersezione con gli assi; \;\;\; c) Studio del segno \end{center}
e riportare i risultati ottenuti nel piano cartesiano.";$y=\dfrac{x^{2}-5 x+4}{2x-5}$;1;"$x<>5/2; (1,0);(4,0);(0,-4/5);1<x<5/2 V x>4$";A
521;Matematica;funzioni;a_dom_assi_segno;"Per la seguente funzione, calcolare:
\begin{center} a) Dominio; \;\;\; b) Intersezione con gli assi; \;\;\; c) Studio del segno \end{center}
e riportare i risultati ottenuti nel piano cartesiano.";$y=\dfrac{1-\ln(2x)}{x^{2}-7 x+6}$;3;"$x>0, x<>1, x<>6; (e/2,0); 0<x<1 V e/2<x<6$";A
522;Matematica;funzioni;a_dom_assi_segno;"Per la seguente funzione, calcolare:
\begin{center} a) Dominio; \;\;\; b) Intersezione con gli assi; \;\;\; c) Studio del segno \end{center}
e riportare i risultati ottenuti nel piano cartesiano.";$y=\dfrac{1-\ln(3x)}{-x^{2}+6x-5}$;3;"$x>0, x<>1, x<>5; (e/3,0); e/3<x<1 V x>5$";A
523;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Determinare i parametri della funzione $f(x)=\dfrac{ax^2+bx+c}{4x+d}$, sapendo che il grafico corrispondente passa per il punto $P\left(1; -\dfrac{1}{3}\right)$, nell’origine ha per tangente la retta $y=2x$ e inoltre si ha $\lim _{x \to \frac{1}{4}}f(x)=\infty$.";4;"$a=1$ ; $b=-2$ ; $c=0$ ; $d=-1$";A
524;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Determinare i parametri della funzione $y=\dfrac{ax+b}{cx^2+1}$, sapendo che il grafico corrispondente ha un punto con tangente orizzontale di ascissa $x=-2$ e nel punto $P\left(0; \dfrac{1}{2}\right)$ ha per tangente la retta $y=x+\dfrac{1}{2}$.";4;"$a=1$ ; $b=c=1/2$";A
525;Matematica;disequazioni;a_problemi_lineari;Risolvere il seguente problema con l’utilizzo delle disequazioni:;Il lato di un quadrato misura $3x-1$. Sapendo che il lato obliquo del trapezio isoscele, avente lo stesso perimetro del quadrato, misura $10dm$ e che l’altezza è uguale al lato obliquo diminuito di $2$, determinare $x$ in modo che l’area del trapezio non superi $144 dm^2$.;3;$1/3<x<=5$;A
526;Matematica;disequazioni;a_problemi_lineari;Risolvere il seguente problema con l’utilizzo delle disequazioni:;La base di un triangolo isoscele misura $x-3$ e l’altezza è pari alla somma tra $1$ e i $\dfrac{2}{3}$ della base. Determinare $x$ in modo che l’area del triangolo sia maggiore della differenza tra l’area del quadrato costruito sulla base del triangolo e i $\dfrac{3}{2}$ dell’area del quadrato costruito sull’altezza.;3;$x>3$;A
527;Matematica;funzioni;a_inversa;Determinare l’inversa della seguente funzione:;$y= \dfrac{2x+1}{3-5x}$;1;$x=\dfrac{3y-1}{5y+2}$;A
528;Matematica;funzioni;a_inversa;Determinare l’inversa della seguente funzione:;$y= \dfrac{5-2x}{7x+3}$;1;$x=\dfrac{5-3y}{7y+2}$;A
529;Matematica;funzioni;a_inversa;Determinare l’inversa della seguente funzione:;$y= e^\frac{x-1}{x}$;2;$x=\dfrac{1}{1-\ln y}$;A
530;Matematica;funzioni;a_inversa;Determinare l’inversa della seguente funzione:;$y=\dfrac{1}{\ln x -1}$;2;$y= e^{\frac{1}{x}+1}$;A
531;Matematica;funzioni;a_composte;Calcolare l'espressione della funzione composta $f\circ g$ e $g\circ f$ a partire dalle seguenti funzioni:;"$f(x)=\dfrac{2}{\ln x -4} \,\, ; \,\, g(x)=e^{\frac{2}{x}+4}$";3;"$x \,\,\, ; x$";A
532;Matematica;funzioni;a_composte;Calcolare l'espressione della funzione composta $f\circ g$ e $g\circ f$ a partire dalle seguenti funzioni:;"$f(x)=\dfrac{2}{6x-1} \,\, ; \,\, g(x)=\dfrac{2+x}{6x}$";3;"$x \,\,\, ; x$";A
533;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Determinare l’equazione della retta tangente al grafico della funzione $f(x)=x^2+x+2$ nel suo punto $P_0$ di ascissa $x_0=1$. Suggerimento: l’equazione di una retta con pendenza $m$ e passante per un punto $P_0(x_0;y_0)$ è $y-y_0=m(x-x_0)$.";2;$[y=3x+1]$;A
534;Matematica;derivate;a_condizioni_funzione;Risolvere il seguente esercizio:;"Determinare l’equazione della retta tangente al grafico della funzione $f(x)=x^2-3x+2$ nel suo punto $P_0$ di ascissa $x_0=2$. Suggerimento: l’equazione di una retta con pendenza $m$ e passante per un punto $P_0(x_0;y_0)$ è $y-y_0=m(x-x_0)$.";2;$[y=x-2]$;A
535;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$3xa^2-6x^2a^3$;1;$3xa^2(1-2xa)$;A
536;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$5x^3y^2-10x^4y^3$;1;$5x^3y^2(1-2xy)$;A
537;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$6ax^2-\dfrac{2}{3}x^2+6a-\dfrac{2}{3}$;2;$2(x^2+1)(3a-\dfrac{1}{3})$;A
538;Matematica;scomposizioni;a_risolvere;Scomporre il seguente polinomio in fattori irriducibili:;$3x^4+\dfrac{3}{2}x^2-3x^3y-\dfrac{3}{2}xy$;2;$3x(x-y)(x^2+\dfrac{1}{2})$;A
539;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Tra le primitive $F(x)$ di $f(x)=x^{2}-{\dfrac{1}{x}}$, trova quella tale che $F(1)=2$.;1;$\left[F(x)={\frac{x^{3}}{3}}-\ln\left|\,x\,\right|+{\frac{5}{3}}\right]$;A
540;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Tra le primitive $F(x)$ di $f(x)=5-6x+4x^{5}$, trova quella tale che $F(-1)=4$.;1;$\left[F(x)=5x-3x^{2}+x^{4}+11\right]$;A
541;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int(x^{2}+x+10)\,d x$;1;$\left[{\frac{x^{3}}{3}}+{\frac{x^{2}}{2}}+10x+c\right]$;A
542;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int(x^{3}-3x^{2}-8)\,d x$;1;$\left[\frac{x^{4}}4-x^{3}-8x+~c\right]$;A
543;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int \left(\dfrac{1}{x^{3}}+\dfrac{3}{x^{2}}\right)\,d x$;2;$\left[-\frac{1}{2x^{2}}-\frac{3}{x}+c\right]$;A
544;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int \left(3x^{2}-{\dfrac{6}{x^{2}}} \right)\,d x$;2;$\left[x^{3}+{\frac{6}{x}}+c\right]$;A
545;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int \dfrac{1-x^{2}+6x}{x^{2}}\,d x$;3;$\left[-\frac{1}{x}-x+6\ln\vert x\vert+c\right]$;A
546;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int \dfrac{3x^{2}+2-4x}{3x}\,d x$;3;$\left[\frac{x^{2}}2+\frac23\ln\left|\,x\right|-\,\frac43x+c\right]$;A
547;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int\left(\dfrac{2}{\sqrt{x}}-\dfrac{3}{\sqrt[3]{x}}\right)\,d x$;4;$\left[4\sqrt{x}-\frac{9}{2}\sqrt[3]{x^{2}}+c\right]$;A
548;Matematica;integrali;a_int_immediati;Calcolare l’integrale indefinito:;$\displaystyle \int \left(\sqrt{x}+\dfrac{2}{\sqrt{x}}\right)\,d x$;4;$\left[\frac{2}{3}x\sqrt{x}+4\,\sqrt{x}+c\right]$;A
549;Matematica;equazioni_fratte_grado_1;a_condizioni_esistenza;Per la seguente equazione fratta, trovare le condizioni di esistenza ed il dominio:;${\dfrac{x-1}{x+3}}-{\dfrac{2}{x}}={\dfrac{5}{x-1}}$;1;$[x\neq-3,x\neq0,x\neq1]$;A
550;Matematica;equazioni_fratte_grado_1;a_condizioni_esistenza;Per la seguente equazione fratta, trovare le condizioni di esistenza ed il dominio:;$\dfrac{6}{3x-1}-\dfrac{1}{2x+3}=\dfrac{1}{2x}$;1;$[x\neq0,x\neq-3/2,x\neq1/3]$;A
551;Matematica;equazioni_fratte_grado_1;a_condizioni_esistenza;Per la seguente equazione fratta, trovare le condizioni di esistenza ed il dominio:;${\dfrac{3x}{x^{2}-4x+4}}+{\dfrac{1}{x-2}}-{\dfrac{1}{x}}=0$;2;$[x\neq0,\,x\neq2]$;A
552;Matematica;equazioni_fratte_grado_1;a_condizioni_esistenza;Per la seguente equazione fratta, trovare le condizioni di esistenza ed il dominio:;${\dfrac{7}{(x-1)(x-2)}}+{\dfrac{1}{x^{2}-1}}+{\dfrac{1}{2x-4}}=0$;2;$[x\neq1,x\neq-1,x\neq2]$;A
553;Matematica;frazioni_algebriche;a_semplificazione;Semplificare la seguente frazione algebrica:;$\dfrac{2a^{2}-10a}{a x-5x}$;1;$\frac{2a}{x}$;A
554;Matematica;frazioni_algebriche;a_semplificazione;Semplificare la seguente frazione algebrica:;$\dfrac{12a-3a^{2}}{4y-a y}$;1;$\frac{3a}{y}$;A
555;Matematica;frazioni_algebriche;a_semplificazione;Semplificare la seguente frazione algebrica:;$\dfrac{x^{3}+4\,x^{2}+x-6}{x^{2}-x}$;2;$[\frac{x^{2}+5x+6}{x}]$;A
556;Matematica;frazioni_algebriche;a_semplificazione;Semplificare la seguente frazione algebrica:;$\dfrac{2x^{2}+2x-12}{x^{3}-7x+6}$;2;$[\frac{2}{x-1}]$;A
557;Matematica;equazioni_fratte_grado_1;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni:;Quale numero si deve sottrarre a ciascun termine della frazione $\frac{3}{2}$ per ottenere una frazione equivalente a $\frac{21}{24}$.;1;$[10]$;A
558;Matematica;equazioni_fratte_grado_1;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni:;"La somma di due numeri è $19$; determinare i due numeri sapendo che, aggiungendo a entrambi $3$, il rapporto tra i numeri ottenuti è $\frac{3}{2}$.";1;"$[12; 7]$";A
559;Matematica;equazioni_fratte_grado_1;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni:;In un numero di due cifre, la cifra delle unità è $6$. Il rapporto tra questo numero e quello ottenuto scambiando tra loro le due cifre è $\frac{23}{32}$. Trovare il numero.;2;$[46]$;A
560;Matematica;equazioni_fratte_grado_1;a_problemi;Risolvere il seguente problema con l’utilizzo delle equazioni:;In un rettangolo, la base è i $\frac{4}{3}$ dell’altezza e il rapporto tra il perimetro e l’altezza aumentata di $4$ cm è $\frac{14}{5}$. Calcolare l’area del rettangolo.;2;$[48]$;A
561;Matematica;derivate;a_taylor;Scrivere il polinomio di Taylor di ordine $2$ e centro $x_0=0$, relativo alla funzione indicata:;$\ln(5x+1)$;1;$[5x-\frac{25}{2}x^2]$;A
562;Matematica;derivate;a_taylor;Scrivere il polinomio di Taylor di ordine $2$ e centro $x_0=0$, relativo alla funzione indicata:;$\ln(1-3x)$;1;$[-3x-\frac{9}{2}x^2]$;A
563;Matematica;derivate;a_taylor;Scrivere il polinomio di Taylor di ordine $2$ e centro $x_0=-2$, relativo alla funzione indicata:;$\dfrac{1}{x+3}$;2;$[x^2+3x+3]$;A
564;Matematica;derivate;a_taylor;Scrivere il polinomio di Taylor di ordine $2$ e centro $x_0=2$, relativo alla funzione indicata:;$\dfrac{1}{x-3}$;2;$[-x^2+3x-3]$;A
565;Matematica;integrali;a_primitive;"Determinare la primitiva della seguente funzione, passante per il punto $P(0;2)$:";$f(x)=x^3-2x^2$;1;$\left[F(x)={\frac{x^{4}}{4}}-{\frac{2}{3}}x^{3}+2\right]$;A
566;Matematica;integrali;a_primitive;"Determinare la primitiva della seguente funzione, passante per il punto $P(1;-2)$:";$f(x)=2x-\dfrac{1}{x}$;1;$\left[F(x)=x^{2}-\ln \left| x \right| -3\right]$;A
567;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Tra le primitive della funzione $f(x)=2 \cdot \cos(2x)$, individuare quella il cui grafico, nel punto di ascissa $\frac{\pi}{2}$, ammette per tangente la retta di equazione $y=-2x+\pi+2$.;2;$y=\sin(2x)+2$;A
568;Matematica;integrali;a_primitive;Risolvere il seguente esercizio:;Data la funzione $f(x)=3x^2-x$, determinare tra le sue primitive $F(x)$ quella che ha un massimo uguale a $2$.;2;$y=x^3-x^2/2+2$;A
569;Matematica;integrali;a_problemi_indef;Risolvere il seguente problema con l’utilizzo degli integrali:;Un giocoliere lancia una palla verso l’alto con velocità iniziale $v_0=15$ $m/s$ da un’altezza $h_0=1$ $m$. L’accelerazione è $g=-10$ $m/s^2$. Scrivere la legge oraria $h(t)$ che descrive il moto della palla e trovare l’altezza raggiunta dalla palla dopo $1$ secondo.;1;"$[h(t)=-5t^2+15t+1$ ; $11m]$";A
570;Matematica;integrali;a_problemi_indef;Risolvere il seguente problema con l’utilizzo degli integrali:;Un’industria inquina un fiume scaricando liquami tossici con una velocità, espressa in $Kg$ al mese, descritta dalla funzione $v(t)=250 \cdot t^\frac{3}{2}$. Determinare la funzione $M(t)$ che descrive la massa in $Kg$ di rifiuti immessi al tempo $t$, espresso in mesi. Calcolare anche quanti $Kg$ di rifiuti saranno stati dispersi nell'acqua dopo un anno.;1;"$[M(t)=100 \cdot t^\frac{5}{2}$ ; $48883Kg]$";A
571;Matematica;integrali;a_problemi_indef;Risolvere il seguente problema con l’utilizzo degli integrali:;"Barbara, alle ore 16 $(t=0)$ di un certo giorno, parte in bicicletta dal paese X, diretta a un paese Y distante $15 km$; percorre una strada approssimativamente rettilinea e la sua velocità (decrescente a causa della fatica) è espressa in $km/h$ dalla funzione $v_B(t)=18/(t+1)^2$, essendo $t$ il tempo (in ore) trascorso dalla partenza. Paolo, sempre alle 16 $(t=0)$, parte invece dal paese Y e si dirige verso il paese X lungo la stessa strada di Barbara. Anche Paolo viaggia in bicicletta, e la sua velocità è espressa in $km/h$ dalla funzione $v_P(t)=22/(t+1)^2$, essendo $t$ il tempo (in ore) trascorso dalla partenza. Determinare: a) l’espressione analitica della funzione $s_B(t)$ che esprime la distanza (in $km$) percorsa da Barbara, in relazione al tempo $t$ trascorso dalla partenza (quindi $s_B(0) = 0$); b) l’espressione analitica della funzione $s_P(t)$ che esprime la distanza (in $km$) percorsa da Paolo, in relazione al tempo $t$ trascorso dalla partenza (quindi $s_P(0) = 0$). Infine: c) stabilire dopo quanto tempo dalla partenza Barbara e Paolo si incontreranno.";2;"$\left[{\bf a}.s_{B}(t)=18-\frac{18}{t+1};{\bf b}.s_{P}(t)=22-\frac{22}{t+1};{\bf c}.36\,min\right]$";A
572;Matematica;integrali;a_problemi_indef_2;Risolvere il seguente problema con l’utilizzo degli integrali:;Determinare l’equazione della posizione ($s(t)$) di un punto che si muove lungo una retta con accelerazione $a(t)=-3t^2+1$ $m/s^2$, sapendo che per $t=2$ secondi, la posizione è $s(2)=4$ metri e la velocità è $v(2)=2$ $m/s$. ;1;$s(t)=-t^4/4+t^2/2+8t-10$;A
573;Matematica;integrali;a_problemi_indef;Risolvere il seguente problema con l’utilizzo degli integrali:;Un serbatoio per lo stoccaggio di acqua piovana è completamente pieno quando, nell’istante $t=0$, viene aperta una valvola di scarico. L’acqua fuoriesce a una velocità, in litri/minuto, espressa dalla funzione: $v(t)=\frac{2}{5}(225-t^2)$ con $0 \leq t \leq 15$. Determinare l’espressione analitica della funzione $Q(t)$ che esprime la quantità di acqua fuoriuscita dal serbatoio dopo $t$ minuti dall’apertura della valvola. Sapendo che dopo $15$ minuti dall’apertura della valvola il serbatoio risulta completamente svuotato, stabilire la capacità del serbatoio. Se per svuotarsi avesse impiegato la metà del tempo, quale sarebbe stata la sua capacità?;2;"$Q(t)=90t-\frac{2}{15}t^{3}$; $900$ litri; $618.75$ litri";A
574;Matematica;funzioni;a_continue;Disegnare il grafico delle seguenti funzioni, classificare  i loro punti di discontinuità e, in caso di discontinuità di prima specie, calcolare il salto.;"$f(x)=$ $\left\{\begin{array}{l}
-x^2-1 \:\:\: ; \:\:\: x \leq 0 \\
2x \:\:\: ; \:\:\: x>0
\end{array}\right.$";1;n.a.;A
575;Matematica;funzioni;a_continue;Disegnare il grafico delle seguenti funzioni, classificare  i loro punti di discontinuità e, in caso di discontinuità di prima specie, calcolare il salto.;"$f(x)=$ $\left\{\begin{array}{l}
x^2+1 \:\:\: ; \:\:\: x \leq 0 \\
2x \:\:\: ; \:\:\: x>0
\end{array}\right.$";1;n.a.;A
576;Matematica;funzioni;a_continue;Disegnare il grafico delle seguenti funzioni, classificare  i loro punti di discontinuità e, in caso di discontinuità di prima specie, calcolare il salto.;"$f(x)=$ $\left\{\begin{array}{l}
x^2-5x+6 \:\:\: ; \:\:\: x \leq 2 \\
2x+1 \:\:\: ; \:\:\: x>2
\end{array}\right.$";2;n.a.;A
577;Matematica;funzioni;a_continue;Disegnare il grafico delle seguenti funzioni, classificare  i loro punti di discontinuità e, in caso di discontinuità di prima specie, calcolare il salto.;"$f(x)=$ $\left\{\begin{array}{l}
x^2-6x+5 \:\:\: ; \:\:\: x \leq 1 \\
2x-3 \:\:\: ; \:\:\: x>1
\end{array}\right.$";2;n.a.;A
578;Matematica;limiti;a_problemi;Risolvere il seguente esercizio sui limiti:;Determina $k$ in modo che $$\operatorname*{lim}_{x\to k}{\frac{x^{2}-4x-5}{x-k}}$$ esista finito. In corrispondenza di questi valori di $k$, calcola il limite.;1;"[k=-1 oppure k= 5; per k=-1 il limite vale -6, per k= 5 il limite vale 6]";A
